AX,AY,AZ,GX,GY,GZ,MX,MY,MZ
9.59,2.35,0.61,17.64,-1.47,5.73,2.92,2.92,2.92
8.95,2.71,0.28,19.43,7.35,33.97,0.82,0.82,0.82
9.61,0.14,0.84,-9.6,-3.34,0.25,2.36,2.36,2.36
9.82,0.44,0.26,3.7,2.3,-3.7,2.73,2.73,2.73
9.87,0.17,0.52,1.8,2.01,0.49,3.18,3.18,3.18
9.84,0.37,0.42,-11.37,4.41,0,4.2,4.2,4.2
9.75,0.28,0.63,1.34,3.94,0.9,2.7,2.7,2.7
9.79,0.11,0.51,0.82,-3.82,2.43,1.27,1.27,1.27
9.78,0.21,0.69,-24.85,10.61,-2.17,2.06,2.06,2.06
9.79,0.68,0.66,-8.96,2.17,1.94,0.11,0.11,0.11
9.77,0.19,1.31,-10.47,15.01,2.42,0.22,0.22,0.22
9.54,0.01,1.33,6.96,-5.54,0.68,-4.54,-4.54,-4.54
9.96,0.22,1.2,8.54,-2.96,0.64,-2.36,-2.36,-2.36
10.14,0.22,1.42,-5.75,10.99,1.26,-3.33,-3.33,-3.33
9.59,0.1,1.49,6.07,15.54,7.28,2.77,2.77,2.77
9.58,0.48,2.33,-5.22,24.56,10.83,-3.15,-3.15,-3.15
9.36,0.67,3.38,7.63,37.01,13.59,-1.27,-1.27,-1.27
8.8,0.96,4.47,12.04,37.22,9.18,0,0,0
8.3,-1.3,5.48,-4.69,29.28,1.36,3.15,3.15,3.15
7.66,-1.8,6.32,-12.66,25.56,4.73,2.43,2.43,2.43
7,-1.68,6.73,2.02,25.19,7.35,0.41,0.41,0.41
6.55,-1.97,7.69,-6.74,29.18,7.28,-2.96,-2.96,-2.96
5.52,-2.43,7.97,11.86,23.26,7.85,-3.26,-3.26,-3.26
5.16,-2.25,8.44,8.68,16.26,8.5,3.86,3.86,3.86
4.58,-2.34,8.24,-8,17.2,7.25,3.03,3.03,3.03
4.19,-1.77,8.68,15.26,16.21,3.51,1.83,1.83,1.83
3.58,-2.14,9.13,11.17,22.2,2.56,1.5,1.5,1.5
3.01,-1.93,9.38,0.6,16.49,0.84,3.03,3.03,3.03
2.2,-1.94,9.2,-11.58,15.72,0.68,-4.72,-4.72,-4.72
2.2,-2.1,9.34,-4.3,5.09,0.2,-4.46,-4.46,-4.46
1.73,-1.85,8.76,-5.44,-2.51,-4.6,-4.1,-4.1,-4.1
2.27,-1.95,10.1,14.7,0.72,6.76,-3.37,-3.37,-3.37
2.02,-1.59,9.01,2.42,-6.75,0.82,-4.16,-4.16,-4.16
2.66,-1.49,10.18,13.9,-36.92,-1.61,-4.39,-4.39,-4.39
4.09,-1.46,9.56,6,-36.65,-5.27,4.27,4.27,4.27
5.62,0.51,9.06,13.83,-56.49,-4.9,-4.42,-4.42,-4.42
7.42,-1,7.48,-5.19,-55.2,-9.14,-2.13,-2.13,-2.13
7.94,0.42,6.02,-2.26,-36.23,-12.11,4.69,4.69,4.69
8.54,0.44,4.3,-10.42,-61.39,-3.58,1.57,1.57,1.57
9.96,0.57,2.67,-22.43,-55.13,-10.82,1.5,1.5,1.5
9.73,0.02,0.92,-6.83,-33.61,-7.21,0.3,0.3,0.3
10.04,0.2,0.2,12.54,-28.81,-7.96,0.18,0.18,0.18
9.55,0.21,0.51,2.45,-24.3,-9.3,-3.18,-3.18,-3.18
9.73,0.67,-1.53,2.24,-22.61,-3.44,0.7,0.7,0.7
9.89,0.63,-1.92,6.16,-6.65,4.59,-4.72,-4.72,-4.72
9.99,0.51,-2.2,8.88,-5.94,5.2,-3,-3,-3
9.69,0.62,-2.8,-4.13,0.85,0.49,-3.78,-3.78,-3.78
9.6,0.42,-1.78,-2.93,2.15,-1.19,-4.42,-4.42,-4.42
9.86,0.58,-1.88,6.22,6.68,0.69,4.42,4.42,4.42
9.71,0,-1.19,5.98,28.35,9.31,2.28,2.28,2.28
9.68,0.11,0.22,3.74,49.79,14.26,3.45,3.45,3.45
9.65,0.25,1.9,11.22,60.06,12.74,-2.96,-2.96,-2.96
9.28,-1.3,3.98,9.1,54.89,8.96,-4.72,-4.72,-4.72
8.17,-1.24,5.47,14.94,36.86,7.27,3.52,3.52,3.52
