Timestamp,Elapsed_Time_Seconds,Left_Knee_Angle,Right_Knee_Angle,Left_Hip_Angle,Right_Hip_Angle,Sample_Count
04:11:17.633,0.53,0.6,1.4,33.0,33.2,5
04:11:18.168,1.06,1.6,0.9,51.5,53.4,10
04:11:18.711,1.6,1.2,0.7,34.3,36.5,15
04:11:19.244,2.14,0.2,1.3,52.2,52.9,20
04:11:19.779,2.67,0.2,2.4,37.7,40.6,25
04:11:20.320,3.21,0.3,1.7,51.0,49.1,30
04:11:20.845,3.74,0.3,0.2,43.2,39.4,35
04:11:21.385,4.28,1.6,2.8,62.9,60.7,40
04:11:21.956,4.85,1.2,0.9,39.9,42.3,45
04:11:22.499,5.39,0.9,0.9,52.6,51.9,50
04:11:23.044,5.94,1.1,0.5,52.1,52.7,55
04:11:23.567,6.46,1.2,0.0,45.9,50.2,60
04:11:24.097,6.99,0.6,1.5,19.1,16.7,65
04:11:24.644,7.54,1.5,3.0,20.4,19.4,70
04:11:25.173,8.07,2.1,2.2,28.7,26.7,75
04:11:25.704,8.6,1.0,2.9,6.4,6.7,80
04:11:26.253,9.15,0.1,0.0,8.8,5.9,85
04:11:26.784,9.68,0.9,2.9,6.7,8.1,90
04:11:27.318,10.21,0.5,3.6,7.5,8.5,95
04:11:27.859,10.75,2.9,0.2,7.5,7.3,100
04:11:28.382,11.28,1.2,2.2,7.4,7.1,105
04:11:28.911,11.8,0.7,0.3,7.7,8.8,110
04:11:29.439,12.33,1.6,2.5,11.8,12.6,115
04:11:30.002,12.9,0.1,2.4,8.0,7.9,120
04:11:30.527,13.42,0.4,2.0,10.7,9.8,125
04:11:31.064,13.96,1.8,2.9,8.6,13.0,130
04:11:31.602,14.5,0.1,1.2,11.5,12.6,135
04:11:32.133,15.03,1.9,1.1,15.7,14.7,140
04:11:32.665,15.56,1.2,0.5,18.6,18.7,145
04:11:33.216,16.11,2.0,0.2,16.8,16.9,150
