AX,AY,AZ,GX,GY,GZ,MX,MY,MZ
"9.59","2.35","0.61","17.64","-1.47","5.73","2.92","2.92","2.92"
"8.95","2.71","0.28","19.43","7.35","33.97","0.82","0.82","0.82"
"8.95","2.71","0.28","19.43","7.35","33.97","0.82","0.82","0.82"
"9.61","0.14","0.84","-9.6","-3.34","0.25","2.36","2.36","2.36"
"9.61","0.14","0.84","-9.6","-3.34","0.25","2.36","2.36","2.36"
"9.82","0.44","0.26","3.7","2.3","-3.7","2.73","2.73","2.73"
"9.82","0.44","0.26","3.7","2.3","-3.7","2.73","2.73","2.73"
"9.87","0.17","0.52","1.8","2.01","0.49","3.18","3.18","3.18"
"9.87","0.17","0.52","1.8","2.01","0.49","3.18","3.18","3.18"
"9.84","0.37","0.42","-11.37","4.41","0","4.2","4.2","4.2"
"9.84","0.37","0.42","-11.37","4.41","0","4.2","4.2","4.2"
"9.75","0.28","0.63","1.34","3.94","0.9","2.7","2.7","2.7"
"9.75","0.28","0.63","1.34","3.94","0.9","2.7","2.7","2.7"
"9.79","0.11","0.51","0.82","-3.82","2.43","1.27","1.27","1.27"
"9.79","0.11","0.51","0.82","-3.82","2.43","1.27","1.27","1.27"
"9.78","0.21","0.69","-24.85","10.61","-2.17","2.06","2.06","2.06"
"9.78","0.21","0.69","-24.85","10.61","-2.17","2.06","2.06","2.06"
"9.79","0.68","0.66","-8.96","2.17","1.94","0.11","0.11","0.11"
"9.79","0.68","0.66","-8.96","2.17","1.94","0.11","0.11","0.11"
"9.77","0.19","1.31","-10.47","15.01","2.42","0.22","0.22","0.22"
"9.77","0.19","1.31","-10.47","15.01","2.42","0.22","0.22","0.22"
"9.54","0.01","1.33","6.96","-5.54","0.68","-4.54","-4.54","-4.54"
"9.54","0.01","1.33","6.96","-5.54","0.68","-4.54","-4.54","-4.54"
"9.96","0.22","1.2","8.54","-2.96","0.64","-2.36","-2.36","-2.36"
"9.96","0.22","1.2","8.54","-2.96","0.64","-2.36","-2.36","-2.36"
"10.14","0.22","1.42","-5.75","10.99","1.26","-3.33","-3.33","-3.33"
"10.14","0.22","1.42","-5.75","10.99","1.26","-3.33","-3.33","-3.33"
"9.59","0.1","1.49","6.07","15.54","7.28","2.77","2.77","2.77"
"9.59","0.1","1.49","6.07","15.54","7.28","2.77","2.77","2.77"
"9.58","0.48","2.33","-5.22","24.56","10.83","-3.15","-3.15","-3.15"
"9.58","0.48","2.33","-5.22","24.56","10.83","-3.15","-3.15","-3.15"
"9.36","0.67","3.38","7.63","37.01","13.59","-1.27","-1.27","-1.27"
"9.36","0.67","3.38","7.63","37.01","13.59","-1.27","-1.27","-1.27"
"8.8","0.96","4.47","12.04","37.22","9.18","0","0","0"
"8.8","0.96","4.47","12.04","37.22","9.18","0","0","0"
"8.3","-1.3","5.48","-4.69","29.28","1.36","3.15","3.15","3.15"
"8.3","-1.3","5.48","-4.69","29.28","1.36","3.15","3.15","3.15"
"7.66","-1.8","6.32","-12.66","25.56","4.73","2.43","2.43","2.43"
"7.66","-1.8","6.32","-12.66","25.56","4.73","2.43","2.43","2.43"
"7","-1.68","6.73","2.02","25.19","7.35","0.41","0.41","0.41"
"7","-1.68","6.73","2.02","25.19","7.35","0.41","0.41","0.41"
"6.55","-1.97","7.69","-6.74","29.18","7.28","-2.96","-2.96","-2.96"
"6.55","-1.97","7.69","-6.74","29.18","7.28","-2.96","-2.96","-2.96"
"5.52","-2.43","7.97","11.86","23.26","7.85","-3.26","-3.26","-3.26"
"5.52","-2.43","7.97","11.86","23.26","7.85","-3.26","-3.26","-3.26"
